strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,rsi14,ret5d,hold_days,vol_avg
1,SHMD,2026-06-05,07:31 KST,5.05,15.8,26.8,-23.8,6.0,1.6,5.3,4.04,,,,,
3,ADCT,2026-06-05,07:31 KST,1.03,4.9,35.3,,4.0,0.98,1.08,0.82,-22.0,,,,
3,SHMD,2026-06-05,07:31 KST,5.05,15.8,26.8,,6.0,1.61,5.3,4.04,-18.9,,,,
3,CDTG,2026-06-05,07:31 KST,3.18,20.9,60.3,,4.0,1.92,3.34,2.54,-34.4,,,,
3,DGXX,2026-06-05,07:31 KST,6.04,23.3,21.6,,4.0,1.17,6.34,4.83,-19.3,,,,
3,KORU,2026-06-05,07:31 KST,610.01,28.7,38.3,,4.0,0.0,640.51,488.01,-41.9,,,,
4,ADCT,2026-06-05,07:31 KST,1.03,,35.3,,,,1.24,,,11.4,-69.7,30.0,
4,NYXH,2026-06-05,07:31 KST,1.45,,32.1,,,,1.74,,,19.7,-51.3,30.0,
5,ETHT,2026-06-05,07:31 KST,7.77,,20.7,,5.0,,8.55,,,,-40.5,30.0,1702432.0
